date,NO3-N_ugL_YRZ,NO3-N_ugL_YHZ
2012/6/17,317.504,779.251
2012/6/18,338.223,761.882
2012/6/19,369.702,808.783
2012/6/20,444.084,969.209
2012/6/21,359.419,909.218
2012/6/22,331.997,683.258
2012/6/23,335.737,621.088
2012/6/24,343.254,654.49
2012/6/25,311.74,704.301
2012/6/26,291.563,688.04
2012/6/27,305.341,678.258
2012/6/28,330.568,689.344
2012/6/29,314.721,701.293
2012/6/30,294.054,698.627
2012/7/1,315.705,969.367
2012/7/2,280.487,719.686
2012/7/3,266.271,707.517
2012/7/4,263.49,708.192
2012/7/5,263.028,692.601
2012/7/6,240.868,686.587
2012/7/7,246.464,676.574
2012/7/8,240.422,652.387
2012/7/9,218.183,641.677
2012/7/10,222.691,609.29
2012/7/11,255.838,632.295
2012/7/12,258.495,702.006
2012/7/13,238.962,641.818
2012/7/14,336.858,742.182
2012/7/15,322.582,608.182
2012/7/16,300.023,525.695
2012/7/17,372.077,562.584
2012/7/18,379.141,535.502
2012/7/19,369.53,517.15
2012/7/20,356.973,521.696
2012/7/21,350.67,537.698
2012/7/22,339.898,572.74
2012/7/23,323.378,569.821
2012/7/24,315.296,573.809
2012/7/25,315.08,570.713
2012/7/26,300.696,573.153
2012/7/27,315.345,576.641
2012/7/28,353.6,865.836
2012/7/29,278.222,740.475
2012/7/30,254.803,731.378
2012/7/31,233.118,529.852
2012/8/1,224.586,496.11
2012/8/2,213.27,488.627
2012/8/3,225.677,567.957
2012/8/4,205.103,601.87
2012/8/5,218.475,546.3
2012/8/6,239.818,704.201
2012/8/7,207.413,353.893
2012/8/8,167.922,420.177
2012/8/9,172.766,487.772
2012/8/10,173.417,510.313
2012/8/11,174.127,547.346
2012/8/12,169.667,496.087
2012/8/13,,506.237
2012/8/14,,524.471
2012/8/15,,546.876
2012/8/16,,724.809
2012/8/17,,639.779
2012/8/18,,548.698
2012/8/19,,543.793
2012/8/20,,564.96
2012/8/21,,585.636
2012/8/22,,668.722
2012/8/23,,561.85
2012/8/24,,649.367
2012/8/25,,622.899
2012/8/26,,597.056
2012/8/27,,603.92
2012/8/28,137.495,559.34
2012/8/29,124.117,535.572
2012/8/30,159.49,550.869
2012/8/31,209.15,719.02
2012/9/1,158.12,728.75
2012/9/2,136.859,659.498
2012/9/3,125.043,560.967
2012/9/4,135.076,544.85
2012/9/5,141.203,646.496
2012/9/6,133.914,595.221
2012/9/7,124.183,573.519
2012/9/8,131.395,565.402
2012/9/9,135.596,558.289
2012/9/10,142.693,564.482
2012/9/11,266.854,627.639
2012/9/12,223.227,682.025
2012/9/13,298.758,623.251
2012/9/14,194.809,603.084
2012/9/15,171.872,596.808
2012/9/16,157.984,570.945
2012/9/17,151.946,575.955
2012/9/18,155.679,567.11
2012/9/19,186.329,566.744
2012/9/20,143.361,562.471
2012/9/21,130.824,511.773
2012/9/22,159.555,491.208
2012/9/23,128.838,479.846
2012/9/24,213.772,585.318
2012/9/25,187.683,608.281
2012/9/26,224.397,502.887
2012/9/27,304.398,575.856
2012/9/28,281.019,541.567
2012/9/29,216.246,512.744
2012/9/30,181.291,532.115
2012/10/1,182.1,528.938
2012/10/2,186.865,538.393
2012/10/3,186.076,546.844
2012/10/4,546.978,735.251
2012/10/5,798.523,904.629
2012/10/6,542.303,670.662
2012/10/7,493.196,697.791
2012/10/8,463.503,708.244
2012/10/9,441.142,595.759
2012/10/10,456.577,518.888
2012/10/11,461.483,536.522
2012/10/12,487.828,581.904
2012/10/13,430.362,515.885
2012/10/14,429.463,506.175
2012/10/15,491.37,542.173
2012/10/16,511.654,434.03
2012/10/17,484.462,376.733
2012/10/18,463.395,388.13
2012/10/19,455.124,408.865
2012/10/20,434.192,428.034
2012/10/21,421.173,437.437
2012/10/22,394.199,427.073
2012/10/23,390.344,428.851
2012/10/24,389.624,452.3
2012/10/25,390.584,459.287
2012/10/26,374.926,421.33
2012/10/27,378.986,448.313
2012/10/28,371.982,475.042
2012/10/29,375.772,468.622
2012/10/30,404.832,473.782
2012/10/31,384.496,446.362
2012/11/1,354.768,423.39
2012/11/2,367.69,417.841
2012/11/3,579.497,528.914
2012/11/4,876.513,633.486
2012/11/5,749.194,424.174
2012/11/6,684.922,368.526
2012/11/7,697.026,450.947
2012/11/8,809.073,479.016
2012/11/9,759.187,525.195
2012/11/10,754.826,608.495
2012/11/11,835.391,662.458
2012/11/12,838.104,635.276
2012/11/13,824.669,735.829
2012/11/14,820.128,875.863
2012/11/15,825.64,1004.22
2012/11/16,838.512,1103.649
2012/11/17,813.825,1161.844
2012/11/18,787.657,1167.485
2012/11/19,742.078,1098.657
2012/11/20,724.625,1084.123
2012/11/21,755.984,1229.792
2012/11/22,720.78,1329.864
2012/11/23,698.825,1301.451
2012/11/24,686.212,1311.461
2012/11/25,670.338,1223.795
2012/11/26,677.409,1193.706
2012/11/27,651.366,1185.2
2012/11/28,667.615,1137.178
2012/11/29,701.611,1068.023
2012/11/30,718.492,1012.124
2012/12/1,747.591,1047.722
2012/12/2,781.861,1115.282
2012/12/3,797.027,1177.527
